Barcode	PopID	CrossNum	Indiv	Origin	Exp	Trt	Rack	Pos	LfCount2	LfLgth2	LfWdth2	comment
239	GR002-1-1	GR002	1	1	nat	mat fx	control	7	16	13	17.2	3.5	
240	GR002-1-2	GR002	1	2	nat	mat fx	control	6	34	11	20.7	5.1	
241	GR002-3-1	GR002	3	1	nat	mat fx	cut	8	16	18	0	0	0
242	GR002-3-2	GR002	3	2	nat	mat fx	control	7	47	7	15.2	2.1	
243	GR002-3-3	GR002	3	3	nat	mat fx	cut	8	27	15	0	0	
244	GR002-5-1	GR002	5	1	nat	mat fx	cut	8	7	19	0	0	
245	GR002-6-1	GR002	6	1	nat	mat fx	control	7	43	18	16	4.6	
246	GR002-6-2	GR002	6	2	nat	mat fx	nut def	11	49	11	15.6	3.4	
247	GR002-9-4	GR002	9	4	nat	mat fx	control	6	41	13	20.6	4.4	
248	GR002-9-6	GR002	9	6	nat	ass map	control	12	38	15	20	4.7	
249	GR002-9-7	GR002	9	7	nat	ass map	control	16	35	18	20.3	6	
250	GR002-9-8	GR002	9	8	nat	mat fx	nut def	11	38	14	17.9	3.7	
251	HUG-1-1	HUG	1	1	SK	ass map	control	23	32	18	24	7.7	
252	RU008-11-1	RU008	11	1	nat	mat fx	control	6	25	14	23.9	6.7	
253	RU008-1-2	RU008	1	2	nat	mat fx	control	6	9	22	19.1	5.7	
254	RU008-2-1	RU008	2	1	nat	mat fx	cut	8	18	33	0	0	
255	RU008-5-1	RU008	5	1	nat	mat fx	control	7	27	NA	NA	NA	
256	RU008-5-2	RU008	5	2	nat	mat fx	control	6	23	19	17.1	5.6	
257	RU008-5-9	RU008	5	9	nat	mat fx	control	7	38	11	16.7	3.2	
258	RU008-6-1	RU008	6	1	nat	mat fx	nut def	11	27	40	13.7	4.2	
259	RU008-8-1	RU008	8	1	nat	mat fx	cut	8	12	14	0	0	
260	RU008-8-2	RU008	8	2	nat	mat fx	control	6	47	17	19	7.1	
261	RU008-8-4	RU008	8	4	nat	mat fx	cut	8	41	15	0	0	
262	RU008-9-2	RU008	9	2	nat	mat fx	nut def	11	23	20	17.9	4	
263	RU008-9-5	RU008	9	5	nat	mat fx	nut def	11	47	12	12.3	4.7	
264	SAND-1-1	SAND	1	1	SK	mat fx	control	7	45	13	261	6.8	
265	SAND-1-2	SAND	1	2	SK	mat fx	control	6	32	17	22	6.9	
266	SAND-1-3	SAND	1	3	SK	mat fx	nut def	11	3	17	20.5	6.2	
267	SAND-1-4	SAND	1	4	SK	mat fx	nut def	11	43	20	18.2	6.6	
268	SAND-1-5	SAND	1	5	SK	mat fx	cut	8	32	24	0	0	
269	SAND-1-6	SAND	1	6	SK	mat fx	control	7	21	NA	NA	NA	
270	SAND-1-8	SAND	1	8	SK	ass map	control	17	47	25	21.7	5.9	
271	SAND-1-9	SAND	1	9	SK	mat fx	control	6	18	17	26.2	8.3	
272	SAND-2-2	SAND	2	2	SK	mat fx	cut	8	36	18	0	0	
273	SAND-2-7	SAND	2	7	SK	mat fx	cut	8	9	12	0	0	
274	SAND-3-3	SAND	3	3	SK	mat fx	control	7	34	11	22.3	5.9	
275	SAND-3-4	SAND	3	4	SK	mat fx	nut def	11	21	12	22.1	4.9	
276	SAND-3-5	SAND	3	5	SK	mat fx	control	7	41	12	21.6	7.5	
277	SERG-1-1	SERG	1	1	SK	ass map	control	19	15	9	13.4	5.3	BLT 24.5
278	SERG-1-2	SERG	1	2	SK	ass map	control	23	41	2	8.5	2.1	BLT 31 FLR
279	SERG-1-3	SERG	1	3	SK	ass map	control	14	43	18	12	3	
280	SERG-1-4	SERG	1	4	SK	ass map	control	14	7	7	12.7	4	BLT TWNTY FIVE
281	SERG-1-5	SERG	1	5	SK	array	dna	18	11	22	18.2	5.4	BLT 3.0
282	SERG-1-6	SERG	1	6	SK	ass map	control	20	15	24	9.6	2.7	TWOBLT FORTN TWNTY FLR
283	SERG-1-7	SERG	1	7	SK	array	dna	17	43	6	10.5	3	
284	SERG-2-1	SERG	2	1	SK	ass map	control	14	27	13	22.4	4.2	
285	SERG-2-2	SERG	2	2	SK	ass map	control	23	16	19	21.2	3.6	
286	SERG-2-3	SERG	2	3	SK	ass map	control	22	16	15	17.3	3.2	
287	SERG-2-4	SERG	2	4	SK	ass map	control	17	29	19	22.5	4.8	
288	SERG-2-5	SERG	2	5	SK	array	dna	16	48	48	13.1	4.1	
289	SERG-2-6	SERG	2	6	SK	ass map	control	15	16	28	18.1	4.5	
290	SERG-2-7	SERG	2	7	SK	ass map	control	23	27	NA	NA	NA	
291	SERG-2-8	SERG	2	8	SK	ass map	control	17	36	17	14.5	3.5	BOLT TWO P FIVE
292	SERG-2-9	SERG	2	9	SK	ass map	control	22	38	25	25.6	4.7	
293	SERG-3-1	SERG	3	1	SK	ass map	control	15	5	20	13.5	2.3	
294	SERG-3-10	SERG	3	10	SK	ass map	control	23	38	17	19.1	4.3	
295	SERG-3-2	SERG	3	2	SK	ass map	control	22	32	13	18.7	3.4	BLT 2
