Rack	Pos	Barcode	PopID	CrossNum	Indiv	Origin	Exp	Trt	Wilt	TotWilt	Yellow	Death	Float	Note	BoltDate	FlwrDate	FlwrCol	FlwrNote	BoltMsrDate	BoltCount1	MaxBoltHt1	OtherBoltHt1	BoltMsr	BoltCount2	MaxBoltHt2	OtherBoltHt2	BoltMsrDate3	BoltCount3	MaxBoltHt3	OtherBoltHt3
CA001-17-2	19	38	CA001-17-2	CA001	17	2	inv	ass map	control							10/21/2010				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-17-3	20	7	CA001-17-3	CA001	17	3	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-17-4	16	38	CA001-17-4	CA001	17	4	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-17-5	19	20	CA001-17-5	CA001	17	5	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-17-6	14	49	CA001-17-6	CA001	17	6	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-17-7	18	10	CA001-17-7	CA001	17	7	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-17-8	22	40	CA001-17-8	CA001	17	8	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-17-9	13	10	CA001-17-9	CA001	17	9	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-18-1	1	23	CA001-18-1	CA001	18	1	inv	array	control 3											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-18-2	20	3	CA001-18-2	CA001	18	2	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-19-1	19	5	CA001-19-1	CA001	19	1	inv	ass map	control							10/8/2010				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-19-2	14	14	CA001-19-2	CA001	19	2	inv	array	dna							10/19/2010				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-19-3	13	43	CA001-19-3	CA001	19	3	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-20-1	17	50	CA001-20-1	CA001	20	1	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-20-10	16	3	CA001-20-10	CA001	20	10	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-20-11	13	12	CA001-20-11	CA001	20	11	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-20-12	12	15	CA001-20-12	CA001	20	12	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-20-2	1	27	CA001-20-2	CA001	20	2	inv	array	control 2											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-20-3	20	18	CA001-20-3	CA001	20	3	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-20-4	19	8	CA001-20-4	CA001	20	4	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-20-5	17	25	CA001-20-5	CA001	20	5	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-20-7	22	7	CA001-20-7	CA001	20	7	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-20-8	22	12	CA001-20-8	CA001	20	8	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-20-9	18	20	CA001-20-9	CA001	20	9	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-2-1	5	47	CA001-2-1	CA001	2	1	inv	mat fx	allo											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-2-2	20	32	CA001-2-2	CA001	2	2	inv	ass map	control							10/21/2010				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-2-3	13	45	CA001-2-3	CA001	2	3	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-2-4	15	23	CA001-2-4	CA001	2	4	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-2-5	19	21	CA001-2-5	CA001	2	5	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-2-6	20	27	CA001-2-6	CA001	2	6	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA001-3-1	18	8	CA001-3-1	CA001	3	1	inv	ass map	control											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
